date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:05	63044/63044	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:05%20GMT	https://dev.closer2oxford.ro/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/index.html	(from )
23:20:05	24/24	U-----	200	untouched ('OK')	text/plain	etag:%2218-5b85539735513%22	https://dev.closer2oxford.ro/robots.txt		(from )
23:20:06	146/146	---M--	403	error ('Forbidden')	text/html	date:Thu,%2007%20Jan%202021%2021:20:07%20GMT	http://closer2oxford.ro/favicon.png	C:/work/web/ro.closer2oxford.static/closer2oxford/closer2oxford.ro/favicon.0.delayed	(from https://dev.closer2oxford.ro/)
23:20:06	70/70	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jan%202021%2021:20:08%20GMT	http://c443513.r13.cf2.rackcdn.com/static/widgets/w.js	C:/work/web/ro.closer2oxford.static/closer2oxford/c443513.r13.cf2.rackcdn.com/static/widgets/w.28.delayed	(from https://dev.closer2oxford.ro/)
23:20:06	20726/20726	U--MC-	200	updated ('OK')	text/css	date:Thu,%2007%20Jan%202021%2021:20:06%20GMT	https://dev.closer2oxford.ro/page/var/layout.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/layout.css	(from https://dev.closer2oxford.ro/)
23:20:08	146/146	---M--	403	error ('Forbidden')	text/html	date:Thu,%2007%20Jan%202021%2021:20:09%20GMT	http://closer2oxford.ro/uploads/2012/11/4/conferinta_cluj_runda_trei.jizfr0.5l4d36.png	C:/work/web/ro.closer2oxford.static/closer2oxford/closer2oxford.ro/uploads/2012/11/4/conferinta_cluj_runda_trei.jizfr0.5l4d36.png	(from https://dev.closer2oxford.ro/page/var/layout.css)
23:20:08	20515/20515	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:07%20GMT	https://dev.closer2oxford.ro/uploads/2015/06/9/facebook_icon.gif	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/uploads/2015/06/9/facebook_icon.html	(from https://dev.closer2oxford.ro/)
23:20:08	24/24	U-----	200	untouched ('OK')	text/plain	etag:%2218-5b85539735513%22	http://dev.closer2oxford.ro/robots.txt		(from https://dev.closer2oxford.ro/)
23:20:11	10620/10620	U--MC-	200	updated ('OK')	text/javascript	date:Thu,%2007%20Jan%202021%2021:20:08%20GMT	https://dev.closer2oxford.ro/page/var/javascript.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/javascript.js	(from https://dev.closer2oxford.ro/)
23:20:11	56089/56089	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2007%20Jan%202021%2021:20:06%20GMT	http://dev.closer2oxford.ro/page/rss_feed	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/rss_feed	(from https://dev.closer2oxford.ro/)
23:20:12	79389/79389	U-----	200	untouched ('')	image/gif	etag:%221361d-5b8553982742a%22	https://dev.closer2oxford.ro/uploads/2015/06/9/icon-facebook.gif	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/uploads/2015/06/9/icon-facebook.gif	(from https://dev.closer2oxford.ro/)
23:20:12	78601/78601	U-----	200	untouched ('')	application/javascript	etag:%2213309-5b8553a2e8ada%22	https://dev.closer2oxford.ro/js/jquery-1.4.4.min.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery-1.4.4.min.js	(from https://dev.closer2oxford.ro/)
23:20:12	331433/331433	U-----	200	untouched ('')	application/javascript	etag:%2250ea9-5b8553972c48b%22	https://dev.closer2oxford.ro/js/tinymce/tiny_mce.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/tinymce/tiny_mce.js	(from https://dev.closer2oxford.ro/)
23:20:12	22329/22329	U-----	200	untouched ('')	application/javascript	etag:%225739-5b85539712a64%22	https://dev.closer2oxford.ro/js/jquery.form.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.form.js	(from https://dev.closer2oxford.ro/)
23:20:13	2263/2263	U-----	200	untouched ('')	application/javascript	etag:%228d7-5b8553970f3b4%22	https://dev.closer2oxford.ro/js/fbLoginRegister.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/fbLoginRegister.js	(from https://dev.closer2oxford.ro/)
23:20:14	3682/3682	U--MC-	200	updated ('OK')	text/css	date:Thu,%2007%20Jan%202021%2021:20:13%20GMT	https://dev.closer2oxford.ro/page/var/jquery.bxslider.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/jquery.bxslider.css	(from https://dev.closer2oxford.ro/)
23:20:14	15172/15172	U--MC-	200	updated ('OK')	text/css	date:Thu,%2007%20Jan%202021%2021:20:13%20GMT	https://dev.closer2oxford.ro/page/var/gallery.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/gallery.css	(from https://dev.closer2oxford.ro/)
23:20:14	21768/21768	U--MC-	200	updated ('OK')	text/javascript	date:Thu,%2007%20Jan%202021%2021:20:13%20GMT	https://dev.closer2oxford.ro/page/var/galerie/jquery.prettyPhoto.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/galerie/jquery.prettyPhoto.js	(from https://dev.closer2oxford.ro/)
23:20:14	1144/1144	U-----	200	untouched ('')	application/javascript	etag:%22478-5b85539712a64%22	https://dev.closer2oxford.ro/js/jquery.hovertip-1.0.min.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.hovertip-1.0.min.js	(from https://dev.closer2oxford.ro/)
23:20:14	19123/19123	U--MC-	200	updated ('OK')	text/javascript	date:Thu,%2007%20Jan%202021%2021:20:13%20GMT	https://dev.closer2oxford.ro/page/var/jquery.bxslider.min.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/jquery.bxslider.min.js	(from https://dev.closer2oxford.ro/)
23:20:16	25969/25969	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:14%20GMT	https://dev.closer2oxford.ro/page/register	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/register.html	(from https://dev.closer2oxford.ro/)
23:20:16	5378/5378	U-----	200	untouched ('')	application/javascript	etag:%221502-5b85539712a64%22	https://dev.closer2oxford.ro/js/jquery.jgrowl_minimized.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.jgrowl_minimized.js	(from https://dev.closer2oxford.ro/)
23:20:16	4195/4195	U-----	200	untouched ('OK')	text/css	etag:%221063-5b8553961bd2a%22	https://dev.closer2oxford.ro/css/jquery.jgrowl.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/css/jquery.jgrowl.css	(from https://dev.closer2oxford.ro/)
23:20:16	22408/22408	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:15%20GMT	https://dev.closer2oxford.ro/page/contacte/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/contacte/index.html	(from https://dev.closer2oxford.ro/)
23:20:17	35053/35053	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:16%20GMT	https://dev.closer2oxford.ro/page/clubdebate/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clubdebate/index.html	(from https://dev.closer2oxford.ro/)
23:20:17	38823/38823	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:16%20GMT	https://dev.closer2oxford.ro/page/oamenii/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/oamenii/index.html	(from https://dev.closer2oxford.ro/)
23:20:17	25249/25249	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:16%20GMT	https://dev.closer2oxford.ro/page/proiectul/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/proiectul/index.html	(from https://dev.closer2oxford.ro/)
23:20:17	2245/2245	U-----	200	untouched ('')	application/javascript	etag:%228c5-5b85539712e4a%22	https://dev.closer2oxford.ro/js/jquery.timer-min.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.timer-min.js	(from https://dev.closer2oxford.ro/)
23:20:18	63064/63064	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:17%20GMT	https://dev.closer2oxford.ro/page/home/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/home/index.html	(from https://dev.closer2oxford.ro/)
23:20:18	37052/37052	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:17%20GMT	https://dev.closer2oxford.ro/page/clasamente	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clasamente.html	(from https://dev.closer2oxford.ro/)
23:20:18	41547/41547	U-----	200	untouched ('')	image/jpeg	etag:%22a24b-5b85539654382%22	https://dev.closer2oxford.ro/images/layout/sigla.jpg	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/sigla.jpg	(from https://dev.closer2oxford.ro/)
23:20:18	3776/3776	U-----	200	untouched ('')	image/png	etag:%22ec0-5b8553963ad42%22	https://dev.closer2oxford.ro/images/fb.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/fb.png	(from https://dev.closer2oxford.ro/)
23:20:18	7573/7573	U-----	200	untouched ('')	image/png	etag:%221d95-5b8553963ad42%22	https://dev.closer2oxford.ro/images/feed-icon.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/feed-icon.png	(from https://dev.closer2oxford.ro/)
23:20:18	211885/211885	U-----	200	untouched ('')	image/png	etag:%2233bad-5b855396f74e3%22	https://dev.closer2oxford.ro/images/slide/dezbatere-ofensa-runda.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/slide/dezbatere-ofensa-runda.png	(from https://dev.closer2oxford.ro/)
23:20:18	66437/66437	U-----	200	untouched ('')	image/png	etag:%2210385-5b855398258d2%22	https://dev.closer2oxford.ro/uploads/2015/05/22/dezbatere-website-oxford_(1).6ftib2.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/uploads/2015/05/22/dezbatere-website-oxford_(1).6ftib2.png	(from https://dev.closer2oxford.ro/)
23:20:19	20551/20551	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:18%20GMT	https://dev.closer2oxford.ro/page/prez_structura_caz	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/prez_structura_caz.html	(from https://dev.closer2oxford.ro/)
23:20:19	20796/20796	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:18%20GMT	https://dev.closer2oxford.ro/page/prez_argumentarea	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/prez_argumentarea.html	(from https://dev.closer2oxford.ro/)
23:20:19	20743/20743	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:18%20GMT	https://dev.closer2oxford.ro/page/prez_strategie_caz	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/prez_strategie_caz.html	(from https://dev.closer2oxford.ro/)
23:20:19	42788/42788	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:18%20GMT	https://dev.closer2oxford.ro/en	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/en.html	(from https://dev.closer2oxford.ro/)
23:20:21	20733/20733	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:19%20GMT	https://dev.closer2oxford.ro/page/prez_stil_caz	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/prez_stil_caz.html	(from https://dev.closer2oxford.ro/)
23:20:21	22085/22085	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:19%20GMT	https://dev.closer2oxford.ro/page/ro/runda_13_incepe	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/runda_13_incepe.html	(from https://dev.closer2oxford.ro/)
23:20:21	53343/53343	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:19%20GMT	https://dev.closer2oxford.ro/page/ro/interviu_2015	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/interviu_2015.html	(from https://dev.closer2oxford.ro/)
23:20:21	17446/17446	U-----	200	untouched ('')	image/jpeg	etag:%224426-5b85539653bb3%22	https://dev.closer2oxford.ro/images/layout/ralu/struct.jpg	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/ralu/struct.jpg	(from https://dev.closer2oxford.ro/)
23:20:21	16771/16771	U-----	200	untouched ('')	image/jpeg	etag:%224183-5b85539651c72%22	https://dev.closer2oxford.ro/images/layout/ralu/strateg.jpg	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/ralu/strateg.jpg	(from https://dev.closer2oxford.ro/)
