date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:03	63044/63044	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:03%20GMT	https://dev.closer2oxford.ro/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/index.html	(from )
22:49:03	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5b85539735513%22	https://dev.closer2oxford.ro/robots.txt		(from )
22:49:03	146/146	---M--	403	error ('Forbidden')	text/html	date:Thu,%2007%20Jan%202021%2020:49:04%20GMT	http://closer2oxford.ro/favicon.png	C:/work/web/ro.closer2oxford.static/closer2oxford/closer2oxford.ro/favicon.0.delayed	(from https://dev.closer2oxford.ro/)
22:49:03	20726/20726	---MC-	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2020:49:03%20GMT	https://dev.closer2oxford.ro/page/var/layout.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/layout.css	(from https://dev.closer2oxford.ro/)
22:49:05	20515/20515	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:04%20GMT	https://dev.closer2oxford.ro/uploads/2015/06/9/facebook_icon.gif	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/uploads/2015/06/9/facebook_icon.html	(from https://dev.closer2oxford.ro/)
22:49:07	2263/2263	---M--	200	added ('OK')	application/javascript	etag:%228d7-5b8553970f3b4%22	https://dev.closer2oxford.ro/js/fbLoginRegister.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/fbLoginRegister.js	(from https://dev.closer2oxford.ro/)
22:49:10	10620/10620	---MC-	200	added ('OK')	text/javascript	date:Thu,%2007%20Jan%202021%2020:49:07%20GMT	https://dev.closer2oxford.ro/page/var/javascript.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/javascript.js	(from https://dev.closer2oxford.ro/)
22:49:11	22329/22329	---M--	200	added ('OK')	application/javascript	etag:%225739-5b85539712a64%22	https://dev.closer2oxford.ro/js/jquery.form.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.form.js	(from https://dev.closer2oxford.ro/)
22:49:12	1144/1144	---M--	200	added ('OK')	application/javascript	etag:%22478-5b85539712a64%22	https://dev.closer2oxford.ro/js/jquery.hovertip-1.0.min.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.hovertip-1.0.min.js	(from https://dev.closer2oxford.ro/)
22:49:13	4195/4195	---M--	200	added ('OK')	text/css	etag:%221063-5b8553961bd2a%22	https://dev.closer2oxford.ro/css/jquery.jgrowl.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/css/jquery.jgrowl.css	(from https://dev.closer2oxford.ro/)
22:49:14	5378/5378	---M--	200	added ('OK')	application/javascript	etag:%221502-5b85539712a64%22	https://dev.closer2oxford.ro/js/jquery.jgrowl_minimized.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.jgrowl_minimized.js	(from https://dev.closer2oxford.ro/)
22:49:14	2245/2245	---M--	200	added ('OK')	application/javascript	etag:%228c5-5b85539712e4a%22	https://dev.closer2oxford.ro/js/jquery.timer-min.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.timer-min.js	(from https://dev.closer2oxford.ro/)
22:49:15	15172/15172	---MC-	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2020:49:13%20GMT	https://dev.closer2oxford.ro/page/var/gallery.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/gallery.css	(from https://dev.closer2oxford.ro/)
22:49:16	3682/3682	---MC-	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2020:49:14%20GMT	https://dev.closer2oxford.ro/page/var/jquery.bxslider.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/var/jquery.bxslider.css	(from https://dev.closer2oxford.ro/)
